,Unnamed: 0,datetime_local,cloud_cover,apparent_temperature,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,precip_probability,visibility,icon,summary
0,0,2019-10-01 00:00:00,0.35,26.41,26,1,22.01,101,3.08,6.42,1008.45,0,268.6,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
1,1,2019-10-01 01:00:00,0.43,25.95,25,1,22.06,105,2.94,6.28,1008.24,0,269.1,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
2,2,2019-10-01 02:00:00,0.48,25.46,25,1,22.06,106,2.82,6.08,1007.9,0,269.7,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
3,3,2019-10-01 03:00:00,0.49,24.8,24,1,21.87,106,2.63,5.74,1007.61,0,270.4,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
4,4,2019-10-01 04:00:00,0.49,23.99,23,1,21.53,100,2.39,5.3,1007.51,0,271.3,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
5,5,2019-10-01 05:00:00,0.49,24.0,23,1,21.56,94,2.09,4.47,1008.03,0,271.6,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
6,6,2019-10-01 06:00:00,0.48,25.08,24,1,21.97,95,2.31,4.07,1008.61,0,271.8,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
7,7,2019-10-01 07:00:00,0.51,25.69,25,1,22.34,96,2.98,4.65,1008.97,0,272.4,0.0,0.0,16.09,partly-cloudy-day,Humid and Mostly Cloudy
8,8,2019-10-01 08:00:00,0.59,26.22,25,1,22.35,99,3.44,5.14,1009.53,1,272.8,0.0,0.0,16.09,partly-cloudy-day,Humid and Mostly Cloudy
9,9,2019-10-01 09:00:00,0.66,29.03,27,1,22.21,102,3.49,4.77,1010.0,3,272.6,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
10,10,2019-10-01 10:00:00,0.69,31.31,28,1,22.12,101,2.92,3.52,1009.99,4,271.6,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
11,11,2019-10-01 11:00:00,0.69,33.07,30,1,21.71,91,2.21,2.32,1009.86,5,271.0,0.03,0.01,16.09,partly-cloudy-day,Mostly Cloudy
12,12,2019-10-01 12:00:00,0.77,34.08,31,1,21.1,77,1.9,1.9,1009.39,6,271.2,0.02,0.01,16.09,partly-cloudy-day,Mostly Cloudy
13,13,2019-10-01 13:00:00,0.83,34.68,32,1,20.52,60,2.03,2.03,1008.35,5,271.6,0.01,0.01,16.09,partly-cloudy-day,Mostly Cloudy
14,14,2019-10-01 14:00:00,0.78,34.97,33,0,19.91,44,2.39,2.4,1007.24,5,272.2,0.01,0.01,16.09,partly-cloudy-day,Mostly Cloudy
15,15,2019-10-01 15:00:00,0.7,34.98,33,0,19.46,36,2.77,2.78,1006.39,4,272.5,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
16,16,2019-10-01 16:00:00,0.61,34.78,33,0,19.04,34,3.01,3.01,1006.08,2,272.5,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
17,17,2019-10-01 17:00:00,0.55,34.1,33,0,18.88,38,3.04,3.04,1005.97,1,272.6,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
18,18,2019-10-01 18:00:00,0.43,33.58,32,1,19.81,42,2.96,3.1,1006.39,0,273.2,0.0,0.0,16.09,partly-cloudy-day,Partly Cloudy
19,19,2019-10-01 19:00:00,0.24,32.47,30,1,20.85,23,2.72,3.73,1007.49,0,274.2,0.06,0.01,16.09,partly-cloudy-night,Partly Cloudy
20,20,2019-10-01 20:00:00,0.09,30.73,28,1,21.04,4,2.48,4.66,1008.37,0,275.4,0.15,0.01,16.09,clear-night,Clear
21,21,2019-10-01 21:00:00,0.06,29.58,27,1,21.31,19,2.61,5.54,1008.99,0,276.0,0.15,0.01,16.09,clear-night,Clear
